BH;20200328                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUSTOMER NUMBER;CUSTOMER NAME;APPROVED LIMIT;CIF BIRTHDATE;MOBILE NUMBER;LICENSE NUMBER;DAY OF CLOSING;CONTRACT NUMBER;CARD TYPE;EXPIRY DATE;CARD NO;EMAIL ADDRESS;RE-ISSUE FLAG;DATE OF OPENING CIF;CARD BLOCK CODE;ACTIVATION DATE;ACCOUNT BLOCK CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0000000000000018;ROSY                          ;00000000020000000;06021991;0709184239        ;123456789012;00000000;0020010000000013;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;05012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000026;OVERDUE CUSTOMER15            ;00000000020000000;27101972;0791234567        ;111111111111;00000000;0020010000000039;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000059;OVERDUE CUSTOMER16            ;00000000020000000;27101972;090333333333333333;            ;00000000;0020020000000012;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000075;OVERDUE CUSTOMER17            ;00000000020000000;27101972;090333333333333333;            ;00000000;0020030000000011;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000083;OVERDUE CUSTOMER18            ;00000000020000000;27101972;090333333333333333;            ;00000000;0028000000000016;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000109;OVERDUE CUSTOMER19            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028010000000023;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000141;OVERDUE CUSTOMER20            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028020000000014;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000158;OVERDUE CUSTOMER21            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028030000000013;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000174;OVERDUE CUSTOMER22            ;00000000020000000;27101972;333333333333333333;            ;00000000;0020010000000047;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000216;KANNIKA                       ;00000000050000000;01011975;084944471616      ;            ;00000000;0020010000000021;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000224;ANUSAK                        ;00000000050000000;20011988;0771234123        ;123123456   ;00000000;0028010000000015;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000232;OVERDUE CUSTOMER23            ;00000000020000000;27101972;333333333333333333;            ;00000000;0020020000000020;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000240;OVERDUE CUSTOMER24            ;00000000020000000;27101972;333333333333333333;            ;00000000;0020030000000029;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000257;OVERDUE CUSTOMER25            ;00000000020000000;27101972;0761234567        ;151877567   ;00000000;0028000000000024;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000265;OVERDUE CUSTOMER26            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028010000000031;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000273;OVERDUE CUSTOMER27            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028020000000022;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;27101972;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000281;OVERDUE CUSTOMER28            ;00000000020000000;27101972;333333333333333333;            ;00000000;0028030000000039;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;07012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000349;TONG                          ;00000000020000000;02011989;02 00000000       ;            ;00000000;0020010000000062;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;09012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000356;NONG                          ;00000000020000000;06011988;5555555555555     ;            ;00000000;0020020000000038;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;09012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0020010000000070;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000414;CUSTOMRER AAAA                ;00000000012000000;01011990;0781234567        ;111111111111;00000000;0020020000000046;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
